Purchase Order,Vendor,Receipt ID,Vendor Invoice ID,Item,Unit,SKU,Barcode,Vendor Item ID,Date,Cost/Unit,Total Quantity,Total Cost,Shipping&Handling,Taxes,Misc Costs,Total Costs,Correction ID,Delta,Remarks
887,Left Coast Naturals,,,,,,,,01/02/19,,2,371.25,0,0,0,0,,,
887,Left Coast Naturals,774,10166871,,,,,,01/02/19,,2,276.25,,,,,,,
887,Left Coast Naturals,774,10166871,"Flax Seeds, Golden Organic",Bag,1-0000266,1E+11,3005,01/02/19,54.75,1,54.75,,,,,,,
887,Left Coast Naturals,774,10166871,"Hazelnuts, Organic",Bag,1-0000260,1E+11,6005,01/02/19,221.5,1,221.5,,,,,,,
888,Left Coast Naturals,,,,,,,,01/02/19,,4,410.6,0,17.11,0,17.11,,,
888,Left Coast Naturals,815,10167228,,,,,,01/15/19,,1,92.4,,,,,,,
888,Left Coast Naturals,815,10167228,"Savoury Trail Clusters, Organic",Bag,1-0000504,1E+11,6033,01/15/19,92.4,1,92.4,,,,,,,
889,Horizon Distributors,,,,,,,,01/02/19,,4,365.62,0,0,0,0,,,
889,Horizon Distributors,814,670501,,,,,,01/15/19,,1,107.46,,,,,,,
889,Horizon Distributors,814,670501,"Granola, Hemp Plus - Nature's Path",Bag,1-0000231,1E+11,22753,01/15/19,107.46,1,107.46,,,,,,,
890,Holy Homous,,,,,,,,01/02/19,,3,30,0,0,0,0,,,
890,Holy Homous,782,279635,,,,,,01/02/19,,3,30,,,,,,,
890,Holy Homous,782,279635,"Homous, Original - Holy Homous",KG,1-0000764,1E+11,,01/02/19,10,2,20,,,,,,,
890,Holy Homous,782,279635,"Homous, Red Pepper - Holy Homous",KG,1-0000765,1E+11,,01/02/19,10,1,10,,,,,,,
891,Discovery Organics,,,,,,,,01/02/19,,9,374.88,0,0,0,0,,,
891,Discovery Organics,789,32099101,,,,,,01/02/19,,9,388.2,,,,,,,
891,Discovery Organics,789,32099101,"Potato, Yellow Organic",Case,1-0000931,1E+11,,01/02/19,42.8,1,42.8,,,,,,,
891,Discovery Organics,789,32099101,"Potato, Red Large Organic",Case,1-0000595,1E+11,,01/02/19,42.8,1,42.8,,,,,,,
891,Discovery Organics,789,32099101,"Tomato, Vine Organic",Case,1-0000594,1E+11,,01/02/19,39.6,1,39.6,,,,,,,
891,Discovery Organics,789,32099101,"Banana, Organic",Case,1-0000601,1E+11,,01/02/19,39.6,1,39.6,,,,,,,
891,Discovery Organics,789,32099101,"Avocado, Hass Organic",Crate,1-0000647,1E+11,,01/02/19,29.8,1,29.8,,,,,,,
891,Discovery Organics,789,32099101,"Lemons, Organic",Box,1-0000590,1E+11,,01/02/19,68.6,1,68.6,,,,,,,
891,Discovery Organics,789,32099101,"Mushrooms, Crimini Organic",Case,1-0000630,1E+11,,01/02/19,16.6,1,16.6,,,,,,,
891,Discovery Organics,789,32099101,"Oranges, Satsuma Organic",Case,1E+11,1E+11,,01/02/19,55.8,1,55.8,,,,,,,
891,Discovery Organics,789,32099101,"Tomato, Roma, Organic",Case,1-0000769,1E+11,,01/02/19,52.6,1,52.6,,,,,,,
892,Holy Homous,,,,,,,,01/02/19,,3,30,0,0,0,0,,,
892,Holy Homous,785,279733,,,,,,01/02/19,,3,30,,,,,,,
892,Holy Homous,785,279733,"Homous, Original - Holy Homous",KG,1-0000764,1E+11,,01/02/19,10,2,20,,,,,,,
892,Holy Homous,785,279733,"Homous, Red Pepper - Holy Homous",KG,1-0000765,1E+11,,01/02/19,10,1,10,,,,,,,
893,Artisan Bake Shoppe,,,,,,,,01/02/19,,48,46.92,0,0,0,0,,,
893,Artisan Bake Shoppe,845,NADA 010319,,,,,,01/22/19,,48,46.92,,,,,,,
893,Artisan Bake Shoppe,845,NADA 010319,German Rye - Artisan Bake Shoppe,Unit,1-0000730,1E+11,,01/22/19,2.92,4,11.68,,,,,,,
893,Artisan Bake Shoppe,845,NADA 010319,Multigrain- Artisan Bake Shoppe,Unit,1-0000766,1E+11,,01/22/19,3.36,4,13.44,,,,,,,
893,Artisan Bake Shoppe,845,NADA 010319,Cheesebuns - Artisan Bake Shoppe,Unit,1-0000125,1E+11,,01/22/19,0.6,20,12,,,,,,,
893,Artisan Bake Shoppe,845,NADA 010319,French Rolls - Artisan Bake Shoppe,Unit,1-0000121,1E+11,,01/22/19,0.49,20,9.8,,,,,,,
895,Artisan Bake Shoppe,,,,,,,,01/02/19,,158,129.52,0,0,0,0,,,
