ID,Vendor name,Address line 1,Address used for distance calculation (Google Maps),City,Country,State,Zip code,Distance to Nada (1 Way) (km),Distance to Nada 2 ways (km)
1,Alisa Yao Designs,404-2520 Manitoba St,"2520 Manitoba St, Vancouver, BC V5Y3A6",Vancouver,CAN,BC,V5Y 3A6,1.3,2.6
2,Amoda Tea & Wellness Inc.,25-11151 horseshoe way,"Amoda Tea & Wellness, 1664 Renfrew St, Vancouver, BC V5K 4E1, Canada",Richmond,CAN,BC,V7A4S5,4.4,8.8
3,Ranger Tea Crafters (Namasthé Tea Co.),PO Box 1044,"Whistler, British Columbia",Whistler,CAN,BC,V0N 1B0,125,250
4,Organic Matters,P.O.Box 1221,"Organic Matters | Om Foods Inc, 3505 BC-6, Nelson, BC V1L 1Z4, Canada",Nelson,CAN,BC,V1L 6H3,658,1316
5,Discovery Organics,880 Malkin Ave.,"880 Malkin Ave, Vancouver, BC V6A 2K6, Canada",Vancouver,CAN,BC,V6A 2K6,3.3,6.6
6,Moonbrew Tonic Co.,833 Keefer Street,,Vancouver,CAN,BC,V6A 1Y8,,0
7,Product of Science & Art,,,,CAN,BC,,,0
8,Lakehouse Foods,3139 St. Catherine's Street,,Vancouver,CAN,BC,V5T 3Z3,,1.5
9,Dickie's Ginger,1380 Napier St.,"1380 Napier St, Vancouver, BC V5L 2P6, Canada",Vancouver,CAN,BC,V5L 2P6,2.6,5.2
10,East Van Roasters,319 Carrall Street,"319 Carrall St, Vancouver, BC V6B 2J4, Canada",Vancouver,CAN,BC,V6B 2J4,3.2,6.4
11,Denman Island Chocolate,4321 Denman Rd.,"4321 Denman Rd, Denman Island, BC V0R 1T0, Canada",Denman Island,CAN,BC,V0R 1T0,172,344
12,Left Coast Naturals,,"4612 Dawson Street, Burnaby, BC V5C 4C3, Canada",,CAN,BC,,7,14
13,Gathering Place Trading Company,PO Box 272,"Whaletown, British Columbia V0P 1Z0, Canada",Whaletown,CAN,BC,V0P 1Z0,264,528
14,Coast Protein Inc.,110 - 131 11th Street,,New Westminster,CAN,BC,V3M 4C7,,0
15,Abeego Wraps,303 2614 Bridge St.,"Bridge St, North Vancouver, BC, Canada",Victoria,CAN,BC,V8T 4S9,10.6,21.2
16,Oneka Elements,23 Rue Principale,"23 Rue Principale, Frelighsburg, QC, Canada",Frelighsburg,CAN,QC,J0J 1C0,4653,9306
17,Dental Lace Inc.,5 Waumbek Road,"5 Waumbek Rd, Cape Elizabeth, ME 04107",Cape Elizabeth,USA,ME, '04107,5284,10568
18,Legends Haul,102 Forester St,"102 Forester St, North Vancouver, BC, Canada",North Vancouver,CAN,BC,V7H 1W7,10.6,21.2
19,Horizon Distributors,5589 Trapp Ave.,"5589 Trapp Ave, Burnaby, BC V3N 2V4, Canada",Burnaby,CAN,BC,V3N 0B2,14.7,29.4
20,Bakers Supply House,102-19495 55th Ave.,"102 E 55th Ave, Vancouver, BC, Canada",Vancouver,CAN,BC,V5X 1M8,6,12
21,Hives for Humanity,580 Powell Street,"580 Powell St, Vancouver, BC V6A 3C4, Canada",Vancouver,CAN,BC,V6A 1G9,4.5,9
22,Nellie's All-Natural,#114-2455 Dollarton Hwy,"114-2455 Dollarton Hwy, North Vancouver, BC V7H 0A2, Canada",North Vancouver,CAN,BC,V7H OA2,10.6,21.2
23,Plenty + Spare,2168 East Hastings Street,"2168 E Hastings St, Vancouver, BC V5L 1V1, Canada",Vancouver,CAN,BC,V5L 1V1,4.4,8.8
24,Onyx,3814 Oxford Street,"3814 Oxford St, Burnaby, BC V5C 1C3, Canada",Burnaby,CAN,BC,V5C 1C3,7.6,15.2
25,Two Blooms,1716 Carnegie Cres.,,Victoria,CAN,BC,V8N 1P3,,0
26,Teecycle,#48 - 550 Browning Pl.,"550 Browning Pl Unit 48, North Vancouver, BC V7H 3A9, Canada",North Vancouver,CAN,BC,V7H 3A9,11.9,23.8
27,Cedar Isle Farm,3270 Chaplin Rd.,"3270 Chaplin Rd, Agassiz, BC V0M 1A2, Canada",Agassiz,CAN,BC,V0M 1A2,124,248
